Pulse Shape,Pulse Width,Frequency,Pulse Spacing,Pulses,Coil Orientation ,Pulse Length,Step Size,Threshold Low,Threshold High,Threshold Tolerance,"Coil Position x,y,z","Neuron Position x,y,z","Neuron Orientation x,y,z","Neuron Axis x,y,z",MagnE Normalized,MagnE,Firing Threshold,E1,E2,E3,Mean ROI,Area under Positive Curve
Rectangular,25,4,250,1,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,293.512678,139,,,,,
Rectangular,15,10,100,1,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,453.99443,215,-1.826397,-0.591519,-0.875615,1.410323,15
Rectangular,15,10,100,2,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,382.199962,181,-1.826397,-0.591519,-0.875615,1.410323,30
Rectangular,15,10,100,4,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,331.521514,157,-1.826397,-0.591519,-0.875615,1.410323,60
Rectangular,15,10,100,6,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,314.628698,149,-1.826397,-0.591519,-0.875615,1.410323,90
Rectangular,15,10,100,8,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,301.959086,143,-1.826397,-0.591519,-0.875615,1.410323,120
Rectangular,15,10,100,10,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,297.735882,141,-1.826397,-0.591519,-0.875615,1.410323,150
Rectangular,15,6.666666667,150,1,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,453.99443,215,-1.826397,-0.591519,-0.875615,1.410323,15
Rectangular,15,6.666666667,150,2,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,403.315982,191,-1.826397,-0.591519,-0.875615,1.410323,30
Rectangular,15,6.666666667,150,4,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,369.53035,175,-1.826397,-0.591519,-0.875615,1.410323,60
Rectangular,15,6.666666667,150,6,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,356.860738,169,-1.826397,-0.591519,-0.875615,1.410323,90
Rectangular,15,6.666666667,150,8,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,348.41433,165,-1.826397,-0.591519,-0.875615,1.410323,120
Rectangular,15,6.666666667,150,10,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,344.191126,163,-1.826397,-0.591519,-0.875615,1.410323,150
Rectangular,15,5,200,1,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,453.99443,215,-1.826397,-0.591519,-0.875615,1.410323,15
Rectangular,15,5,200,2,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,420.208798,199,-1.826397,-0.591519,-0.875615,1.410323,30
Rectangular,15,5,200,4,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,394.869574,187,-1.826397,-0.591519,-0.875615,1.410323,60
Rectangular,15,5,200,6,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,390.64637,185,-1.826397,-0.591519,-0.875615,1.410323,90
Rectangular,15,5,200,8,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,382.199962,181,-1.826397,-0.591519,-0.875615,1.410323,120
Rectangular,15,5,200,10,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,377.976758,179,-1.826397,-0.591519,-0.875615,1.410323,150
Rectangular,15,4,250,1,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,453.99443,215,-1.826397,-0.591519,-0.875615,1.410323,15
Rectangular,15,4,250,2,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,428.655206,203,-1.826397,-0.591519,-0.875615,1.410323,30
Rectangular,15,4,250,4,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,415.985594,197,-1.826397,-0.591519,-0.875615,1.410323,60
Rectangular,15,4,250,6,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,415.985594,197,-1.826397,-0.591519,-0.875615,1.410323,90
Rectangular,15,4,250,8,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,411.76239,195,-1.826397,-0.591519,-0.875615,1.410323,120
Rectangular,15,4,250,10,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,411.76239,195,-1.826397,-0.591519,-0.875615,1.410323,150
Rectangular,15,3.333333333,300,1,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,453.99443,215,-1.826397,-0.591519,-0.875615,1.410323,15
Rectangular,15,3.333333333,300,2,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,437.101614,207,-1.826397,-0.591519,-0.875615,1.410323,30
Rectangular,15,3.333333333,300,4,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,432.87841,205,-1.826397,-0.591519,-0.875615,1.410323,60
Rectangular,15,3.333333333,300,6,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,428.655206,203,-1.826397,-0.591519,-0.875615,1.410323,90
Rectangular,15,3.333333333,300,8,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,428.655206,203,-1.826397,-0.591519,-0.875615,1.410323,120
Rectangular,15,3.333333333,300,10,255,30,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,428.655206,203,-1.826397,-0.591519,-0.875615,1.410323,150
Rectangular,25,10,100,1,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,293.512678,139,-1.826397,-0.591519,-0.875615,1.410323,25
Rectangular,25,10,100,2,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,255.503842,121,-1.826397,-0.591519,-0.875615,1.410323,50
Rectangular,25,10,100,4,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,230.164618,109,-1.826397,-0.591519,-0.875615,1.410323,100
Rectangular,25,10,100,6,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,221.71821,105,-1.826397,-0.591519,-0.875615,1.410323,150
Rectangular,25,10,100,8,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,217.495006,103,-1.826397,-0.591519,-0.875615,1.410323,200
Rectangular,25,10,100,10,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,213.271802,101,-1.826397,-0.591519,-0.875615,1.410323,250
Rectangular,25,6.666666667,150,1,255,50,5,0,1000,2,"-47.79,74.76,58.94","-41.2,71.4,55.3","1.0,0.0,0.0","0.0,1.0,0.0",2.111602,293.512678,139,-1.826397,-0.591519,-0.875615,1.410323,25
